col,line,letter,s_read_mm,z_mm,turn,r_mm,x_wound,y_wound,x_crushed,y_crushed
1.0000,8.0000,1.0000,152.0800,45.9250,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,8.0000,2.0000,156.2400,45.9250,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,8.0000,3.0000,160.4000,45.9250,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,8.0000,4.0000,164.5600,45.9250,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,8.0000,5.0000,168.7200,45.9250,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,8.0000,6.0000,172.8800,45.9250,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,8.0000,7.0000,177.0400,45.9250,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,9.0000,1.0000,152.0800,48.7150,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,9.0000,2.0000,156.2400,48.7150,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,9.0000,3.0000,160.4000,48.7150,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,9.0000,4.0000,164.5600,48.7150,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,9.0000,5.0000,168.7200,48.7150,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,9.0000,6.0000,172.8800,48.7150,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,9.0000,7.0000,177.0400,48.7150,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,10.0000,1.0000,152.0800,51.5050,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,10.0000,2.0000,156.2400,51.5050,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,10.0000,3.0000,160.4000,51.5050,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,10.0000,4.0000,164.5600,51.5050,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,10.0000,5.0000,168.7200,51.5050,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,10.0000,6.0000,172.8800,51.5050,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,10.0000,7.0000,177.0400,51.5050,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,11.0000,1.0000,152.0800,54.2950,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,11.0000,2.0000,156.2400,54.2950,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,11.0000,3.0000,160.4000,54.2950,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,11.0000,4.0000,164.5600,54.2950,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,11.0000,5.0000,168.7200,54.2950,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,11.0000,6.0000,172.8800,54.2950,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
